Date,Classification,AvgPnL,TotalPnL,TotalVolume,WinRate,Sentiment score,RollingPnL
2024-11-22,Extreme Greed,0.18654710000000008,1.8654710000000008,3177.2799999999997,0.2,94,-1.9747611428571425
2024-11-24,Extreme Greed,-0.388451,-0.388451,1109.86,0.0,80,-1.9191714285714283
2024-11-25,Extreme Greed,0.009707333333333346,0.029122000000000037,1473.43,0.3333333333333333,82,-1.289888714285714
2024-11-26,Extreme Greed,0.4712237999999999,2.3561189999999996,20887.789999999997,0.4,79,0.9458665714285716
2024-11-27,Extreme Greed,-43.195831,-43.195831,14367.36,0.0,75,-5.073499857142857
2024-11-28,Extreme Greed,-313.3525958333333,-1880.1155749999998,115068.26,0.16666666666666666,77,-272.1514824285714
2024-11-29,Extreme Greed,286.5901425,573.180285,1573.42,0.5,78,-192.3241228571428
2024-11-30,Extreme Greed,67.8199126,339.099563,14311.48,0.4,84,-144.14782399999999
2024-12-01,Extreme Greed,-0.194112,-0.194112,554.61,0.0,81,-144.12006128571426
2024-12-02,Extreme Greed,0.1828044723255814,7.86059231,81744.92,0.023255813953488372,80,-143.00127981285712
2024-12-03,Extreme Greed,146.14735978125,18706.862052,515644.47,0.7109375,76,2529.07099633
2024-12-04,Extreme Greed,7.9647195,15.929439,100.07,0.5,78,2537.5174634728573
2024-12-05,Extreme Greed,78.60268366666666,235.80805099999998,2404.41,0.3333333333333333,84,2839.792267187143
2024-12-06,Greed,-20.46034387,-81.84137548,1967.53,0.25,72,2746.217744261429
2024-12-07,Extreme Greed,27.098983333333333,81.29695,968.5,0.3333333333333333,75,2709.3887995471428
2024-12-08,Extreme Greed,3.3413193333333333,10.023958,11935.0,0.3333333333333333,79,2710.848523832857
2024-12-09,Extreme Greed,0.31508838727272725,3.46597226,10858.960000000001,0.18181818181818182,78,2710.2207209685716
2024-12-10,Extreme Greed,28.408175900000003,284.08175900000003,7715.33,0.8,78,78.3949648257143
2024-12-11,Greed,2829.093402,25461.840618,29932.51,0.6666666666666666,74,3713.5251332542857
2024-12-12,Extreme Greed,26.025761770312496,832.8243766499999,57473.310000000005,0.25,83,3798.8131797757137
2024-12-13,Extreme Greed,0.3553572692307692,9.239289,35842.85,0.07692307692307693,76,3811.824703272857
2024-12-14,Extreme Greed,107.83297113333332,3234.9891339999995,38847.009999999995,0.16666666666666666,83,4262.352158129999
2024-12-15,Extreme Greed,4.871006175,97.4201235,48930.06,0.1,80,4274.83732463
2024-12-16,Extreme Greed,-1.5113597916666668,-36.272635,163104.13,0.041666666666666664,83,4269.160380735714
2024-12-17,Extreme Greed,-0.34157800000000005,-3.4157800000000003,33902.45,0.0,87,4228.089303735714
2024-12-18,Extreme Greed,1.3089389212,32.72347303,56717.49,0.24,81,595.3582830257143
2024-12-19,Extreme Greed,2.5024376546666667,75.07312964,103009.75,0.3,75,487.1081048814285
2024-12-20,Greed,44.5079452325,1068.19068558,119772.68,0.25,74,638.3868758214285
2024-12-21,Greed,10.933508142857145,76.534557,2060.62,0.5714285714285714,73,187.17907910714285
2024-12-22,Greed,351.08272900000003,1404.3309160000001,7105.51,0.5,73,373.88062089285717
2024-12-23,Greed,-1.5029104960000002,-30.058209920000003,52352.56,0.0,70,374.76839590428574
2024-12-25,Greed,5.618093999999999,16.854281999999998,28882.36,0.3333333333333333,73,377.6641190471429
2024-12-26,Extreme Greed,17.620969666666667,52.862909,1712.6399999999999,0.6666666666666666,79,380.54118132857144
2024-12-27,Greed,0.4843423333333334,1.453027,384.15999999999997,0.3333333333333333,74,370.0240238085715
2024-12-28,Greed,-0.3417277142857143,-4.784188,49835.380000000005,0.0,72,216.7418990114286
2024-12-29,Greed,-0.0399882,-0.199941,2082.76,0.0,73,205.77982786857143
2024-12-30,Greed,0.361931,3.9812410000000003,27391.07,0.09090909090909091,65,5.729874297142857
2024-12-31,Greed,-1.3897795,-2.779559,9265.2,0.0,64,9.626824428571426
2025-01-02,Greed,-2.254554,-9.018216,40448.34,0.25,70,5.930753285714286
2025-01-03,Greed,-0.12249833333333333,-0.367495,3828.11,0.0,74,-1.6735901428571427
2025-01-05,Greed,125.919371,503.677484,82466.11,0.25,72,70.07276085714285
2025-01-06,Extreme Greed,122.23212600000001,1344.553386,74106.84,0.18181818181818182,76,262.83527142857145
2025-01-07,Extreme Greed,6.2918076,31.459038,8234.109999999999,0.6,78,267.3579827142857
2025-01-08,Greed,26.067429600000004,130.337148,4838.93,0.6,70,285.4088265714286
2025-01-09,Greed,-0.077661,-0.077661,221.89,0.0,69,285.794812
2025-01-10,Neutral,-0.37647025,-1.505881,4687.4,0.25,50,286.86800271428575
2025-01-11,Greed,45.82792249999999,91.65584499999999,71517.61,1.0,69,300.0141941428572
